#SampleID	shannon_entropy
11369.p37.2A	2.8616421881596374
11369.p25.3A	4.998980876574608
11369.p21.1B	2.859902681765999
11369.p30.1A	1.1684819412284406
11369.p35.1B	2.8274319142229536
11369.p41.3A	5.107758614960856
11369.p32.3B	1.6594665380988458
11369.p23.1B	4.617949486293064
11369.p39.3B	3.693487465033931
11369.p25.3B	5.040618350512606
11369.p37.2B	2.9481462563371843
11369.p27.3A	0.8826076768254185
11369.p30.1B	1.1342956463933824
11369.p35.2A	3.9846045870896853
11369.p41.3B	5.184877293222953
11369.p33.1A	2.604425044409161
11369.p21.2A	3.14003119719929
11369.p40.1A	3.2568473745775823
11369.p23.2A	3.954225024806281
11369.p26.1A	1.4944575869490897
11369.p37.3A	2.3261100244693864
11369.p44.1A	3.837182138583538
11369.p27.3B	0.7683726544674886
11369.p33.1B	2.817942479192388
11369.p23.2B	3.6569723052887904
11369.p35.2B	3.787178181024499
11369.p40.1B	3.5449529945024785
11369.p30.2A	0.2595750664896982
11369.p42.1A	0.3794875550560751
11369.p26.1B	1.4698462147259925
11369.p37.3B	2.7679153763577498
11369.p33.2A	1.4964410616518011
11369.p28.1A	1.4339452653445837
11369.p23.3A	4.9608373788102575
11369.p35.3A	3.8804179369007494
11369.p40.2A	3.579394650440879
11369.p44.1B	4.029902101013417
11369.p30.2B	0.3077017529286949
11369.p42.1B	0.5370983759341215
11369.p26.2A	0.7074631038324248
11369.p28.1B	1.6373945387078392
11369.p35.3B	3.8449980588344195
11369.p38.1A	3.310835930341665
11369.p23.3B	4.8399837948330005
11369.p33.2B	1.525773631178532
11369.p30.3A	0.9741927082459342
11369.p40.2B	3.5849481430076704
11369.p44.2A	3.9745504233597995
11369.p36.1A	4.019356061788245
11369.p42.2A	1.402873572054579
11369.p28.2A	3.230064470355932
11369.p46.2B	2.6991456833240584
11369.p49.1A	4.46801383491247
11369.p38.1B	3.3743542229479417
11369.p40.3B	3.219233628435525
11369.p44.2B	3.841998164641953
11369.p33.3A	2.384355797994457
11369.p49.1B	4.547673930062539
11369.p28.2B	3.577450596182789
11369.p36.1B	4.35318603639754
11369.p30.3B	0.8185348884875804
11369.p46.3A	2.8598462920904795
11369.p38.2A	1.6172796324934031
11369.p40.3A	3.1494495163403906
11369.p44.3A	4.310624000003481
11369.p42.2B	1.5544918879768195
11369.p33.3B	2.305696506736108
11369.p49.2A	4.180399486125389
11369.p46.3B	2.8526333789340677
11369.p28.3A	3.608089920041327
11369.p36.2A	3.9942019424552773
11369.p31.1A	3.8311388647128064
11369.p44.3B	4.341002651681524
11369.p38.2B	1.397985317325969
11369.p51.2B	3.5059372377725366
11369.p49.2B	4.463876907531331
11369.p41.1B	4.860049646150082
11369.p47.1A	5.089034881706793
11369.p31.1B	3.7363483979286807
11369.p42.3A	0.6076318197620035
11369.p28.3B	3.1816293109962657
11369.p45.1A	2.2771756745167995
11369.p54.1A	4.623523089205065
11369.p49.3A	4.83605941635343
11369.p51.3A	4.199167661292709
11369.p41.2A	4.707891642414451
11369.p38.3A	2.9604838715123774
11369.p47.1B	5.0750228012194984
11369.p49.3B	4.511745091628863
11369.p45.1B	2.7139306171011457
11369.p31.2A	4.898179991547595
11369.p56.2B	3.283682029748876
11369.p51.3B	4.094799136164527
11369.p54.1B	4.625432337770289
11369.p50.1A	4.336790732837257
11369.p42.3B	0.5404013965938683
11369.p45.2A	3.6887254546455788
11369.p47.2A	4.447625495377746
11369.p56.3A	3.6145151453480526
11369.p52.1A	1.966059356337803
11369.p38.3B	2.986610951918906
11369.p61.2B	3.1978470561300623
11369.p59.1A	0.649372516615962
11369.p54.2A	4.054089925471093
11369.p43.1A	3.5713463876422393
11369.p50.1B	4.911230972337891
11369.p45.2B	3.7355952044747487
11369.p52.1B	1.8734219852142533
11369.p56.3B	3.1233094908362116
11369.p61.3B	4.217400774450446
11369.p47.2B	4.437924823788788
11369.p50.2A	4.770020689611566
11369.p59.1B	0.601299924978443
11369.p45.3A	3.7514822142068582
11369.p54.2B	4.011346918436666
11369.p52.2A	1.8032841028858193
11369.p43.1B	3.6575869045930363
11369.p47.3A	4.653980792386253
11369.p61.3A	4.0796632855802315
11369.p57.1A	1.911521526696707
11369.p50.2B	4.890366041503971
11369.p59.2A	1.542640451061858
11369.p54.3A	4.324002553954076
11369.p52.2B	1.985154021501008
11369.p45.3B	3.562344121936445
11369.p47.3B	4.544651541986327
11369.p43.2A	4.0627268635018865
11369.p50.3A	4.858374099637789
11369.p57.1B	1.876307474047702
11369.p54.3B	4.563534302510615
11369.p59.2B	1.5006722198097435
11369.p46.1A	2.416597373034801
11369.p52.3A	1.83563111527886
11369.p50.3B	4.830567568548507
11369.p48.1A	2.1452757010017782
11369.p59.3A	1.4633148956808635
11369.p43.2B	4.162285308481597
11369.p55.1A	3.7538209547091057
11369.p52.3B	2.115743962653791
11369.p57.2A	1.6470172519070525
11369.p46.1B	2.6123069060456063
11369.p51.1A	3.015160099659589
11369.p48.1B	2.2372630715483224
11369.p59.3B	1.377454506872774
11369.p43.3A	4.154833946734747
