ID,comp1,GroupContrib,importance,mz,RT,Corr_ID,Compound_Name,Compound_Name_2,cytoscape_annotation
2681,1.1124701843384028,Low,-0.048459962,529.4068174,7.9547853,NA,NA,NA,"(m/z: 529.41, RT: 7.95)"
2215,1.111387727489901,High,0.04841280980638762,355.2241630337653,6.5786085,NA,NA,NA,"(m/z: 355.22, RT: 6.58)"
1757,1.110156214,Low,-0.048359164,214.1093272979189,5.216783,NA,NA,NA,"(m/z: 214.11, RT: 5.22)"
1948,1.107282594138296,Low,-0.048233987,547.3465827893158,5.6391177,NA,NA,NA,"(m/z: 547.35, RT: 5.64)"
1835,1.1060491266016743,Low,-0.048180257,244.22698193329651,5.335369,NA,NA,NA,"(m/z: 244.23, RT: 5.34)"
1536,1.101253665957066,Low,-0.047971363,223.0964977926939,4.6611443,NA,Spectral Match to Diethyl phthalate from NIST14,Diethyl phthalate,"Diethyl phthalate (m/z: 223.1, RT: 4.66)"
2178,1.0958129494580529,High,0.04773436181926117,435.2935972781244,6.525338,NA,NA,NA,"(m/z: 435.29, RT: 6.53)"
1483,1.0947837323295495,Low,-0.047689528,209.17529282292688,4.5819592,NA,NA,NA,"(m/z: 209.18, RT: 4.58)"
176,1.094640837221206,Low,-0.047683304,304.21155945143954,2.6269243,NA,NA,NA,"(m/z: 304.21, RT: 2.63)"
2224,1.09252147,Low,-0.047590983,600.4677917370003,6.6047783,NA,Polidocanol,Polidocanol,"Polidocanol (m/z: 600.47, RT: 6.6)"
2626,1.0913903033882362,Low,-0.047541708,684.5250700074389,7.7493563,NA,NA,NA,"(m/z: 684.53, RT: 7.75)"
2526,1.0832444755387969,Low,-0.04718687,615.4061040471876,7.4149675,NA,NA,NA,"(m/z: 615.41, RT: 7.41)"
2230,1.0825205879024893,High,0.047155337,561.3968638579274,6.6177874,0,NA,NA,"(m/z: 561.4, RT: 6.62)"
632,1.0795785674609188,Low,-0.047027181,572.3058743897143,3.4052653,NA,NA,NA,"(m/z: 572.31, RT: 3.41)"
2059,1.0766148148317016,Low,-0.046898078,402.35750177591086,6.082082,NA,NA,NA,"(m/z: 402.36, RT: 6.08)"
