"Compound_ID","Category","Matched_Size","Homo_sapiens","Human_skin"
"2784","microbes",17,NA,NA
"2784","plants",132,NA,NA
"2784","tissue",180,TRUE,TRUE
"2789","microbes",3,NA,NA
"2789","plants",16,NA,NA
"2789","tissue",54,TRUE,TRUE
"2792","microbes",1,NA,NA
"2792","plants",3,NA,NA
"2792","tissue",107,TRUE,TRUE
"358","food",0,NA,NA
"358","microbes",1,NA,NA
"358","tissue",152,TRUE,TRUE
"391","food",1,NA,NA
"391","tissue",130,TRUE,TRUE
"45","food",2,NA,NA
"45","microbes",1,NA,NA
"45","plants",1,NA,NA
"45","tissue",7,TRUE,TRUE
"484","food",0,NA,NA
"484","tissue",182,TRUE,TRUE
"593","food",28,NA,NA
"593","microbes",2,NA,NA
"593","plants",12,NA,NA
"593","tissue",2252,TRUE,TRUE
"967","microbes",24,NA,NA
"967","plants",1,NA,NA
"967","tissue",290,TRUE,TRUE
"967","personal care product",12,NA,NA
